Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Stephen Curry,48.070014,PG,34,56,34.7,56,10,0.493,8.8,0.579,6.3,30
John Wall,47.34576,PG,32,34,22.2,3,4.1,0.408,6.7,0.459,5.2,35.3
Russell Westbrook,47.080179,PG,34,73,29.1,24,5.9,0.436,9.7,0.487,7.5,38.6
LeBron James,44.474988,PF,38,55,35.5,54,11.1,0.5,15.3,0.58,6.8,33.5
Kevin Durant,44.119845,PF,34,47,35.6,47,10.3,0.56,13.4,0.617,5,24.5
Bradley Beal,43.27925,SG,29,50,33.5,50,8.9,0.506,13.2,0.552,5.4,26.6
Kawhi Leonard,42.492492,SF,31,52,33.6,50,8.6,0.512,11.9,0.551,3.9,19.6
Paul George,42.492492,SF,32,56,34.6,56,8.2,0.457,10.3,0.521,5.1,24.2
Giannis Antetokounmpo,42.492492,PF,28,63,32.1,63,11.2,0.553,17.6,0.596,5.7,33.2
Damian Lillard,42.492492,PG,32,58,36.3,58,9.6,0.463,9.4,0.574,7.3,35
Klay Thompson,40.60008,SF,32,69,33,69,7.9,0.436,7.6,0.47,2.4,11
Rudy Gobert,38.172414,C,30,70,30.7,70,5.1,0.659,7.8,0.663,1.2,5.6
Khris Middleton,37.984276,SF,31,33,24.3,19,5.4,0.436,7.4,0.516,4.9,30.7
Anthony Davis,37.98072,C,29,56,34,54,9.7,0.563,15.9,0.589,2.6,13
Jimmy Butler,37.6533,PF,33,64,33.4,64,7.5,0.539,12.3,0.564,5.3,27.1
Tobias Harris,37.63305,SF,30,74,32.9,74,5.7,0.501,7,0.57,2.5,11.4
Kemba Walker,37.281261,PG,32,9,16,1,2.7,0.421,3.2,0.586,2.1,20.1
Trae Young,37.0965,PG,24,73,34.8,73,8.2,0.429,12.7,0.476,10.2,42.5
Zach LaVine,37.0965,SG,27,77,35.9,77,8.7,0.485,11,0.556,4.2,18.7
Ben Simmons,35.448672,PG,26,42,26.3,33,3.2,0.566,5.5,0.571,6.1,31.3
Pascal Siakam,35.448672,PF,28,71,37.4,71,8.9,0.48,14.5,0.523,5.8,24.9
Myles Turner,35.0965,C,26,62,29.4,62,6.5,0.548,7.8,0.638,1.4,7.5
Jrue Holiday,34.31952,PG,32,67,32.6,65,7.3,0.479,9.1,0.542,7.4,34.4
Karl-Anthony Towns,33.8334,PF,27,29,33,29,7.3,0.495,9.1,0.576,4.8,22
Devin Booker,33.8334,SG,26,53,34.6,53,9.9,0.494,14.2,0.554,5.5,27.3
Andrew Wiggins,33.61677,SF,27,37,32.2,37,6.8,0.473,8.2,0.53,2.3,10.5
Joel Embiid,33.61677,C,28,66,34.6,66,11,0.548,17.1,0.587,4.2,22.9
CJ McCollum,33.333333,SG,31,75,35.3,75,7.8,0.437,10.7,0.469,5.7,25.1
James Harden,33,PG,33,58,36.8,58,6.4,0.441,7.3,0.495,10.7,43.3
Jamal Murray,31.6506,PG,25,65,32.8,65,7.3,0.454,9.4,0.494,6.2,27.5
Brandon Ingram,31.6506,SF,25,45,34.2,45,9,0.484,14.9,0.507,5.8,28.1
D'Angelo Russell,31.37775,PG,26,71,32.5,71,6.3,0.469,6.5,0.548,6.2,27.4
Donovan Mitchell,30.91375,SG,26,68,35.8,68,10,0.484,11.3,0.566,4.4,21.4
Shai Gilgeous-Alexander,30.91375,PG,24,68,35.5,68,10.4,0.51,17.8,0.533,5.5,25.7
Deandre Ayton,30.91375,C,24,67,30.4,67,7.8,0.589,12.9,0.597,1.7,9.2
Kevin Love,30.556968,PF,34,62,20,20,2.7,0.389,2.1,0.516,1.9,13.2
Jayson Tatum,30.35178,SF,24,74,36.9,74,9.8,0.466,11.8,0.558,4.6,20.9
Bam Adebayo,30.35178,C,25,75,34.6,75,8,0.54,14.7,0.545,3.2,15.9
De'Aaron Fox,30.35178,PG,25,73,33.4,73,9.3,0.512,13.2,0.584,6.1,29.6
Gordon Hayward,30.075,SF,32,50,31.5,50,5.5,0.475,8.4,0.532,4.1,19.3
Jaylen Brown,29.776785,SF,26,67,35.9,67,10.1,0.491,13.4,0.576,3.5,16.5
