Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Age
M,91,73,19,102.8,44.9,20.200000000000003,30,15,16.5
M,70,53,18,45.1,19.900000000000002,9.700000000000001,14.000000000000002,7,8.5
F,106,84,27,135.4,51.300000000000004,28.299999999999997,42,9,10.5
M,88,73,25,103.2,43.1,22.8,31,10,11.5
I,66,51,16,41,17.9,7.9,11,7,8.5
I,85,60,19,70.3,28.199999999999996,15.5,24,8,9.5
F,106,83,30,155.5,47.4,28.299999999999997,66,20,21.5
F,109.00000000000001,85,25,153.6,58.8,29.9,52,16,17.5
M,95,74,25,101.89999999999999,43.3,22.5,33,9,10.5
F,110.00000000000001,88,30,178.9,62.9,30.2,64,19,20.5
F,105,76,28.000000000000004,121.30000000000001,38.800000000000004,29.5,42,14,15.5
M,86,70,22,81.2,33.5,16.2,27,10,11.5
M,98,76,27,108.3,43.5,19,38,11,12.5
F,107,81,28.999999999999996,136.9,54.50000000000001,34.2,41,10,11.5
F,94,71,20,95.1,33.5,16.1,37,10,11.5
M,100,80,26,132.9,51.6,26.6,48,12,13.5
I,71,56.00000000000001,17,58.099999999999994,19,7.9,23,7,8.5
F,88,68,20,90.2,37.6,17.4,26,10,11.5
M,73,59,16,51.1,19.400000000000002,8.6,20,7,8.5
M,90,64,20,76.2,34.1,15,23,9,10.5
M,71,56.00000000000001,19,49.1,19.1,12.4,15,11,12.5
I,76,55.00000000000001,20,45.1,16,9.8,17,10,11.5
F,112.99999999999999,88,31,187.9,85.5,42.8,54,12,13.5
F,110.00000000000001,83,27,152.7,63.6,42,40,9,10.5
F,123,96,33,232.29999999999998,102.60000000000001,60.199999999999996,61,10,11.5
F,112.00000000000001,88,28.000000000000004,185.7,76.5,37.6,60,11,12.5
F,115.99999999999999,90,37,199.10000000000002,78.9,54.400000000000006,56.99999999999999,11,12.5
M,118,89,28.000000000000004,186.20000000000002,71.2,46.800000000000004,56.00000000000001,12,13.5
M,121,95,36,187.3,78.8,43.8,59,15,16.5
M,114.99999999999999,85,28.000000000000004,172.70000000000002,78.60000000000001,45.4,40,11,12.5
M,115.99999999999999,94,33,199.5,78.7,48.4,66,10,11.5
F,136,112.00000000000001,33,327.8,121.10000000000001,56.10000000000001,92,15,16.5
M,133,105,33,267.6,110.3,71.5,70,18,19.5
F,136,110.00000000000001,35,359.6,163,78.5,91,19,20.5
F,141,110.00000000000001,40,341.9,126.6,82.3,98,13,14.5
M,93,71,21,95.89999999999999,45.4,24.8,25,8,9.5
F,108,95,31,243.4,106.1,61.5,68,16,17.5
F,90,71,21,104.5,47.4,23.3,28.999999999999996,8,9.5
F,114.99999999999999,89,27,176.6,76.2,40.699999999999996,52,11,12.5
M,71,57.99999999999999,18,65.5,26.8,17.2,18,9,10.5
F,90,67,21,85,37.3,18.2,23,9,10.5
F,110.00000000000001,85,27,170.3,72.39999999999999,39.2,54,14,15.5
I,48,35,9,14.000000000000002,6.3,4.7,4,5,6.5
I,41,30,11,8.4,5.1,3,2.4,5,6.5
I,42,30,10,8.4,3.5000000000000004,2.5,3,4,5.5
I,78,59,19,40.6,17.5,9,15,7,8.5
M,94,74,24,115.9,58.599999999999994,45.4,28.000000000000004,9,10.5
F,92,75,24,92.10000000000001,35.5,22,30,7,8.5
I,65,49,14.000000000000002,32.2,15.1,5.1,9,6,7.5
F,105,85,32,167.1,70.89999999999999,42.699999999999996,49,9,10.5
I,104,82,24,119,47.699999999999996,22.2,38,8,9.5
M,80,64,19,60.6,26.700000000000003,12,20,7,8.5
M,97,72,26,108.3,51.9,19.2,32,10,11.5
F,94,72,24,95.5,42.1,21.099999999999998,30,10,11.5
M,81,62,20,77,34.599999999999994,18.3,22,7,8.5
F,100,80,28.000000000000004,132.29999999999998,51.300000000000004,35.099999999999994,44,8,9.5
M,89,70,24,88.5,38.4,19.1,27,8,9.5
M,94,77,27,117.9,55.300000000000004,24,34,8,9.5
I,49,38,12,17.2,8.4,2.8000000000000003,5,4,5.5
F,101,80,25,116.6,49.2,26,35,7,8.5
M,90,69,21,82.3,36,22.5,27,7,8.5
M,101,81,22,125,61,32,35,9,10.5
F,106,82,26,139.3,60.4,38.7,40,10,11.5
M,85,65,19,75.7,34.1,16,20,7,8.5
M,104,80,24,115.99999999999999,46.800000000000004,26.3,37,8,9.5
M,95,71,24,96,46.800000000000004,20.3,27,8,9.5
F,112.99999999999999,88,32,183,70.8,38.7,64,12,13.5
F,119,99,37,257,83.2,44.800000000000004,97,13,14.5
F,95,78,24,106.1,42.699999999999996,23.1,34,10,11.5
I,62,47,14.000000000000002,30.2,12.6,8.1,9,6,7.5
